"id","asset","endDate","owner","percentage","startDate","alephUrl","sharesCurrency","date","description","namesMentioned","indexText","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"05e71ddc1a7001bb0a2787f626d2ddb1a4d78d19","e9dcc53f803215ad644d41e1307935b5e1be4146","","58c45eeed878f33678d74720cf7268c2a68ef4e1","30.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"061110e48aa1f0c6b2d01b0dfe5cba44232f56b9","31cfd3dcc4ab3c9a3956e090e4eb8a931f4322ae","","c8882820029defc8565709a0e350133cc3498a27","95.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"062d4e3191a479446a840b724db12f8b5f03bd38","baa4633b2b7bd3d164484602d0997cc1efa91ef2","","566b5d9791b7d2cf99aab9eede3d0091fd3e19c7","6.33","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06426de0fad5e2ddfeed27840bce7f789cf049cf","a68a857e2b024927c8c37765b4f6087ad9c4265e","","49382d1599fae60744395c34532cbc8821bbeea9","74.80","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"064f87043820ff8eb53fefd44733e3efbfbad0b7","06156c3dfce19c3e829d112f961fefc70a52a955","","99496dc5aa2fad9c742d5e17245a9ee284d6a5e7","51.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06789cf11292284fdb02fe589f8c25f420ba54ea","c2ec265420e9772e2acfd5bd40eed47b70760fd9","","fd4120cbfa1473ae8144f7bb019be6e0d8228799","85.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0694ce4b994aab32d3d62250ff02e01d58d6ce42","20d7555c40c6d6580fcc8ce0bbf7f34930863b12","","83aa9f215e3f997b1a067641cbb935d928183781","50.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"06bb99780d377fed0551a3a44ad20eccee8cfcaa","c36d5885ac717b52c8f3a9a06da6b07930133724","","ade7a40f7537e8b9eb12a67f66e1a0e4c9f5a48a","","","","","","","","","","","","","","","","","","","","UNBESCHRÄNKT HAFTENDER GESELLSCHAFTER","",""
"06bcfc6c0749c5d410dddba79213f6671aba7fb9","cf3953d62cfc7b56dfb094d08f19203cca3c8eda","","e903d79fcf3fc738c149683173d88125508cbc3b","2.67","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06c53f1919d59cc0eb17d1208006ca9613b9f6b2","6329e62a2c34706534d1bdea8a67300b4fbcd74b","","408a217a972f1e125f931b5680b2181252962883","99.64","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06eec384dc0cb5f1ecd84be94aabf7a62a3e2160","e511fcdf3cbdb5a2b28d8112d848345131223a05","","bf6ecf354d4a52c75b596094051802813718976e","40.13","","","","","","","","","","","","","","","","","","","AKTIONÄR","",""
