"id:ID",":LABEL","caption","name","incorporationDate","jurisdiction","registrationNumber","address","alephUrl","amount","amountEur","amountUsd","bikCode","bvdId","coatoCode","caemCode","capital","classification","country","mainCountry","currency","dunsCode","description","dissolutionDate","email","fssCode","fnsCode","icijId","idNumber","innCode","ipoCode","irsCode","jibCode","kppCode","keywords","legalForm","mbsCode","modifiedAt","notes","ogrnCode","okopfCode","okpoCode","oksmCode","okvedCode","opencorporatesUrl","alias","pfrNumber","phone","previousName","program","publisher","publisherUrl","retrievedAt","cikCode","swiftBic","sector","sourceUrl","status","summary","taxNumber","taxStatus","topics","vatCode","voenCode","weakAlias","website","wikidataId","wikipediaUrl","ibcRuc"
"entity:a70da2a6b508a64f9ef1f73ffd4fc13fd8689803","Value;Organization;Company;Thing;LegalEntity;Asset","Salzwelten GmbH","Salzwelten GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=055025w","","",""
"entity:a7264594b1613ad88a5c22a8c656a94e36b10a7c","Value;Organization;Company;Thing;LegalEntity;Asset","Diskont Bank Aktiengesellschaft","Diskont Bank Aktiengesellschaft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a74fe54270bfeae5b704b2fd102454fb7b71ade7","Value;Organization;Company;Thing;LegalEntity;Asset","Österreich Wein Marketing GmbH","Österreich Wein Marketing GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a75e177d46531d8f830c33203fdae2c681122bfc","Value;Organization;Company;Thing;LegalEntity;Asset","AIT Austrian Institute of Technology GmbH","AIT Austrian Institute of Technology GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.ait.ac.at/","","",""
"entity:a7611da336736098d530b12edf0a6ef94e63d72f","Value;Organization;Company;Thing;LegalEntity;Asset","PAMA-GOLS Windkraftanlagenbetriebs GmbH","PAMA-GOLS Windkraftanlagenbetriebs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=251093f","","",""
"entity:a7883bb8ccdd2192f421354f1634eedf82d4f9cc","Value;Organization;Company;Thing;LegalEntity;Asset","Vorarlberger Pflegemanagement gemeinnützige GmbH","Vorarlberger Pflegemanagement gemeinnützige GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.benevit.at/","","",""
"entity:a7abe7ac7e54aa27586c001039b15bca5118a46f","Value;Organization;Company;Thing;LegalEntity;Asset","Robert Metzger & Co Nfg GmbH","Robert Metzger & Co Nfg GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a7ad7d6e889fb9e58e0d7b470eeec08e5a646da4","Value;Organization;Company;Thing;LegalEntity;Asset","ContourGlobal erneuerbare Energie Europa GmbH","ContourGlobal erneuerbare Energie Europa GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a7b3164820343dccdb7b4a5ee20c4ebbf3906fbc","Value;Organization;Company;Thing;LegalEntity;Asset","Museum Moderner Kunst Stiftung Ludwig Wien (MUMOK)","Museum Moderner Kunst Stiftung Ludwig Wien (MUMOK)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a7c15159c881c89143c56e590e5408f2f0427bfe","Value;Organization;Company;Thing;LegalEntity;Asset","PENTAPLUS Unternehmensberatungs- und Immobilienverwaltungsgesellschaft mbH","PENTAPLUS Unternehmensberatungs- und Immobilienverwaltungsgesellschaft mbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.pentaplus.at/","","",""
"entity:a7f5d792ef506c05cd7b7810dbbe2ddab3016b6a","Value;Organization;Company;Thing;LegalEntity;Asset","BAWAG Finance Malta Ltd.","BAWAG Finance Malta Ltd.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a7f7149a7242456b38fa8766de319f97aeaca9ae","Value;Organization;Company;Thing;LegalEntity;Asset","Agrar Umwelttechnik DAP GmbH","Agrar Umwelttechnik DAP GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=355060y","","",""
"entity:a802f43ea2ef55f5b50f6318badf717ca6d22a28","Value;Organization;Company;Thing;LegalEntity;Asset","Foto Zwazl e.U.","Foto Zwazl e.U.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a8053ecbc95262de609196545cacfed8eba26b80","Value;Organization;Company;Thing;LegalEntity;Asset","ecoplus Alpin GmbH","ecoplus Alpin GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=354165g","","",""
"entity:a80c7737128f811ad51aee3b6cdda0a95431e26e","Value;Organization;Company;Thing;LegalEntity;Asset","FLJ Projektentwicklungs GmbH","FLJ Projektentwicklungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=481827w","","",""
"entity:a80e102dee75cabba73c0cb68056ad7a9983e8a7","Value;Organization;Company;Thing;LegalEntity;Asset","Hofer Reisen GmbH & Co KG","Hofer Reisen GmbH & Co KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=241388h","","",""
"entity:a82d957f738aed3fcf32451351dd6ccba83bc1b5","Value;Organization;Company;Thing;LegalEntity;Asset","start:bausparkasse AG","start:bausparkasse AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=441019h","","",""
"entity:a831e0d3afff59640bbd04ba92ac264c56bcfa46","Value;Organization;Company;Thing;LegalEntity;Asset","Burgenland Holding Aktiengesellschaft","Burgenland Holding Aktiengesellschaft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=126613x","","",""
"entity:a8393a95d9b462cda45fdbdec11a57745d97bf5d","Value;Organization;Company;Thing;LegalEntity;Asset","Aspanggründe Gürtelbögen GmbH","Aspanggründe Gürtelbögen GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=502530s","","",""
"entity:a84fe48dd52c95da9ae3c9a80eb5da29d70338c6","Value;Organization;Company;Thing;LegalEntity;Asset","Wüstenrot Versicherungs-Aktiengesellschaft","Wüstenrot Versicherungs-Aktiengesellschaft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=034521t","","",""
"entity:a857f499f284c744c9bc4e02d34dbb2f7d1db176","Value;Organization;Company;Thing;LegalEntity;Asset","Novo Gaming M Technologies GmbH","Novo Gaming M Technologies GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=483004a","","",""
"entity:a8893a141f4844be55f800cc7a01cf23f60d3438","Value;Organization;Company;Thing;LegalEntity;Asset","RVG, Realitätenverwertungsgesellschaft m.b.H.","RVG, Realitätenverwertungsgesellschaft m.b.H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=123785m","","",""
"entity:a8d57a206ce2da39cff00c521714856e1ed93870","Value;Organization;Company;Thing;LegalEntity;Asset","KunstHausWien GmbH","KunstHausWien GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=036310y","","",""
"entity:a8d8b2c6ca3b3e60922ae3fe48c812cc35bda2b9","Value;Organization;Company;Thing;LegalEntity;Asset","OmegaTelos GmbH","OmegaTelos GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=175180v","","",""
"entity:a8ed3a597e2e0e0cb6af35c0366242c880dede0b","Value;Organization;Company;Thing;LegalEntity;Asset","Tele2 Austria Holding GmbH","Tele2 Austria Holding GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a8f833668eb611ca8ffad29d4fef8fe942af0443","Value;Organization;Company;Thing;LegalEntity;Asset","EG Vermietungs GmbH","EG Vermietungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=410349f","","",""
"entity:a90f3e1adf6a5a29e60b682eff40e32ae9c3459b","Value;Organization;Company;Thing;LegalEntity;Asset","UNIQA IT Services GmbH","UNIQA IT Services GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=060539d","","",""
"entity:a9392a6a3775cef1121a5ed31dbee56f0e3d4718","Value;Organization;Company;Thing;LegalEntity;Asset","INiTSiator GmbH","INiTSiator GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=560384w","","",""
"entity:a95aeb6e548cf472d3793df0951fe923c83811f3","Value;Organization;Company;Thing;LegalEntity;Asset","RVS Immo II GmbH","RVS Immo II GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=545033w","","",""
