"id",":TYPE",":START_ID",":END_ID","endDate","percentage","startDate","alephUrl","sharesCurrency","date","description","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"039c8eec07c9dd0b906d3aa317601cd67a95a703","OWNERSHIP","entity:b918dd7b44f0f8fc0b78cebe3a03ba91e9841d4b","entity:bd040177b19880879717791506e6a12fe1a05dfb","","","","","","","","","","","","","","","","","","","UNBESCHRÄNKT HAFTENDER GESELLSCHAFTER","",""
"03a94d089741c8fdf777743675250a6dbfb68c9c","OWNERSHIP","entity:bc6fd916809eee44ce63b03a4221c0f99f2ea32c","entity:a9731d125950c416a2df49f33d17567b18caf98c","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03c69466e424a75da536c6386cabd4c650457dcf","OWNERSHIP","entity:3103886279fea57b176a517db45da1b9400aab5e","entity:3d539af59cf80d9bd6711db32a1c32969a115db5","","99.98","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03cdf55b4e059592986c76b6d5a514bcfa547c6d","OWNERSHIP","entity:c2d64c9e7b0f887c013df20618fcdb3668ceac97","entity:c2f6316140e2b47be815ac4d3c86e4327a1e17cf","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03dd905c2d748baea66c7ebbdb5fcb1a3b3cb330","OWNERSHIP","entity:204836de262c2872d1b822e2404f3da91ed5dfbd","entity:ee7e5dac88fc9dce567c48c52d7a8ca1eb075b9c","","50.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0400de6b2262b65c0252609afb47c5db56ace80a","OWNERSHIP","entity:bd66e4a4b3d7475b2ad7cd16bd48a041a531f6ec","entity:b8e8c9ab4571d65293fb78756272d7e583d4b876","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"04070a9cf038095a286bca75cd0d769763e87387","OWNERSHIP","entity:e9f8e4f4ad5703581e232e62b9f9f137dec1457f","entity:db0372b46c7826b76d1060fa073c29966fc5f75e","","","","","","","","","","","","","","","","","","","","",""
"04162ed97d5f704a7818430e23961941992874c8","OWNERSHIP","entity:ac3a9de4ca47af881324091540ba12604ab7f88d","entity:d0d1b04a7966077fe835e7266a261869bac06b7c","","50.34","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0449edec1efb2e98301d5510babf9c90282a4ec5","OWNERSHIP","entity:8524f5a8484f8b193cae23c60e948f40d40d9ab3","entity:123ea2457fd5596f5ee1172b3858c916bb324001","","4.30","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"0480c2fd62f67eafe1b9c3e59cc3b7466780c59a","OWNERSHIP","entity:959ff98982dbd2f0df4f024bdc372013eec9a020","entity:72690b80965a3270e41a1d4f1753ef437b752d20","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"048e2943b27841faa2ab2bddedeab3d758633fa0","OWNERSHIP","entity:861f3606bfb41efda4f55c260491983b0722221f","entity:5503edf9dedd6935fb07afbb82a60ca9cac8164b","","","","","","","","","","","","","","","","","","","","",""
"0493b0a04e794b2a12e738a34bc730cf78a06a9b","OWNERSHIP","entity:aeb1ecc55bb297a8c161e2ddc682ad6bb2525db0","entity:3323644a53eac81784a278a663065da9d42bc5a4","","0.16","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"04e03d0d21d1d7b2aaf4a5a24f00964d8441707a","OWNERSHIP","entity:8a7f6b4eea6b9b93ecc9d96660bc1f43474beb50","entity:ba639f05170301dfcf05351321d3639b06feff19","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"05e71ddc1a7001bb0a2787f626d2ddb1a4d78d19","OWNERSHIP","entity:58c45eeed878f33678d74720cf7268c2a68ef4e1","entity:e9dcc53f803215ad644d41e1307935b5e1be4146","","30.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"060de2a9948e50d2958879cd488945cb8981c37e","OWNERSHIP","entity:091e2af981b8101288f427f37e8e28d3386f4a22","entity:d63a1a113f0c5c816573e96a5d7911888568164a","","8.40","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
